,Month_Year,County,Year,Month,State,FIPS_Code,Dosage_Industry,Dosage_Purdue,MME_Industry,MME_Purdue,Volume_Industry,Volume_Purdue
191,2006m11,TALLADEGA,2006,11,AL,AL121,264410.0,3400.0,1815741.8213625008,166749.0,2415558.55,124000.0
192,2006m11,TALLAPOOSA,2006,11,AL,AL123,83290.0,1000.0,604661.9280000002,34963.5,767530.0,26000.0
193,2006m11,TUSCALOOSA,2006,11,AL,AL125,482350.0,12600.0,3434690.809087487,712717.5,4248200.65,530000.0
194,2006m11,WALKER,2006,11,AL,AL127,549320.0,18000.0,4822543.928399989,1038147.0,5677018.399999999,772000.0
195,2006m11,WASHINGTON,2006,11,AL,AL129,13000.0,100.0,86087.62500000001,5379.0,113500.0,4000.0
196,2006m11,WILCOX,2006,11,AL,AL131,8460.0,400.0,46294.98,13447.5,66700.0,10000.0
197,2006m11,WINSTON,2006,11,AL,AL133,142190.0,3900.0,924981.0902250006,182886.0,1287642.1,136000.0
198,2006m12,AUTAUGA,2006,12,AL,AL001,178590.0,600.0,1439168.4488625017,29584.5,1705158.55,22000.0
199,2006m12,BALDWIN,2006,12,AL,AL003,576208.0,9100.0,4117890.084262473,593034.75,5313976.949999999,441000.0
200,2006m12,BARBOUR,2006,12,AL,AL005,76790.0,900.0,469786.9949999999,48411.0,650925.0,36000.0
201,2006m12,BIBB,2006,12,AL,AL007,67590.0,2200.0,462504.0074999999,112959.0,605425.0,84000.0
202,2006m12,BLOUNT,2006,12,AL,AL009,96460.0,2500.0,777647.8050000003,115648.5,949950.0,86000.0
203,2006m12,BULLOCK,2006,12,AL,AL011,17580.0,,86647.36800000002,,132005.0,
204,2006m12,BUTLER,2006,12,AL,AL013,61400.0,300.0,344525.1038624999,10758.0,512983.55,8000.0
205,2006m12,CALHOUN,2006,12,AL,AL015,493480.0,6800.0,4203849.963862474,469317.75,5073483.55,349000.0
206,2006m12,CHAMBERS,2006,12,AL,AL017,85010.0,2300.0,838143.9300000011,150612.0,939825.0,112000.0
207,2006m12,CHEROKEE,2006,12,AL,AL019,97530.0,700.0,767673.1649999999,53790.0,934475.0,40000.0
208,2006m12,CHILTON,2006,12,AL,AL021,123040.0,2600.0,1034321.1975000012,137164.5,1228150.0,102000.0
209,2006m12,CHOCTAW,2006,12,AL,AL023,39540.0,1000.0,274529.63636249985,72616.5,361283.55,54000.0
210,2006m12,CLARKE,2006,12,AL,AL025,68630.0,1600.0,408013.3995,72616.5,594795.0,54000.0
211,2006m12,CLAY,2006,12,AL,AL027,46880.0,300.0,357782.0025,16137.0,445350.0,12000.0
212,2006m12,CLEBURNE,2006,12,AL,AL029,19900.0,100.0,150568.2375,5379.0,196500.0,4000.0
213,2006m12,COFFEE,2006,12,AL,AL031,124500.0,1000.0,803217.9750000004,44376.75,1053500.0,33000.0
214,2006m12,COLBERT,2006,12,AL,AL033,307520.0,4400.0,2428766.167724997,252813.0,3047367.1,188000.0
215,2006m12,CONECUH,2006,12,AL,AL035,57200.0,1420.0,353376.9374999998,66968.55,531500.0,49800.0
216,2006m12,COOSA,2006,12,AL,AL037,10530.0,300.0,59125.06500000002,32274.0,89725.0,24000.0
217,2006m12,COVINGTON,2006,12,AL,AL039,154470.0,600.0,925699.2300000007,26895.0,1315575.0,20000.0
218,2006m12,CRENSHAW,2006,12,AL,AL041,28610.0,100.0,183553.82999999993,2689.5,244575.0,2000.0
219,2006m12,CULLMAN,2006,12,AL,AL043,288580.0,1800.0,2262457.14,103545.75,2826600.0,77000.0
220,2006m12,DALE,2006,12,AL,AL045,68990.0,1000.0,521376.1988624999,53790.0,635908.55,40000.0
221,2006m12,DALLAS,2006,12,AL,AL047,85370.0,3400.0,524798.496,181541.25,701060.0,135000.0
222,2006m12,DE KALB,2006,12,AL,AL049,206900.0,1900.0,1613821.4288625016,126406.5,1995983.55,94000.0
223,2006m12,ELMORE,2006,12,AL,AL051,189100.0,900.0,1333315.626450002,56479.5,1739219.2,42000.0
224,2006m12,ESCAMBIA,2006,12,AL,AL053,117600.0,3300.0,792866.052000001,135819.75,1067245.0,101000.0
225,2006m12,ETOWAH,2006,12,AL,AL055,402590.0,9600.0,4787434.336537489,613206.0,4907679.85,456000.0
226,2006m12,FAYETTE,2006,12,AL,AL057,40600.0,1700.0,286806.63750000007,79340.25,364750.0,59000.0
227,2006m12,FRANKLIN,2006,12,AL,AL059,186800.0,1000.0,1240318.9500000016,48411.0,1673750.0,36000.0
228,2006m12,GENEVA,2006,12,AL,AL061,65280.0,500.0,459313.7775000001,24205.5,597100.0,18000.0
229,2006m12,GREENE,2006,12,AL,AL063,5190.0,,20840.895,,34425.0,
230,2006m12,HALE,2006,12,AL,AL065,31400.0,200.0,190909.16249999995,10758.0,258250.0,8000.0
